id_dia,dias_da_semana
5602223378246549,qua
3587825648683311,qua
3572179694651138,qua
201983378819969,sex
6759623224399812583,qua
3545640585929291,ter
3574381586600235,qua
374622975005371,qua
56022365252808103,seg
5602224273656534592,qua
201982280038080,seg
5231079778676548,qui
5516056361184094,seg
5602259242245515,sex
3578047923102492,qua
3579272108195207,seg
5010129942642244,ter
5602233987187018,ter
3543971665933834,ter
3535003698790526,seg
355415,sex
490546971336401241,sab
5100175307789642,ter
5100135173443187,dom
4041372097642,sex
3575625235232819,sab
3551865470231153,sex
3577943352232597,seg
3550857380791567,ter
30482884264981,qui
4936965580740700013,dom
63349115,seg
375958551667542,ter
3571016431591568,dom
3552519736915765,ter
3531294531919851,sab
3572687060871056,ter
5159066811699023,dom
5038346015190913,seg
6761791388025637,sex
5010128594879484,sab
5248984604260295,qua
3556607182608806,qui
3588777045248082,qua
4405995076409162,seg
201578918152424,sex
3533186541738008,dom
3580303827639287,qua
201423675503214,qua
51076115,qua
35700315,ter
5108756306506483,sab
3553652999529723,qua
3573726870785244,dom
56022473155003911,ter
3543028815287049,dom
6334253712898540902,seg
5641821014496148,seg
3571730191597116,dom
4026028846756941,ter
3563126176095202,seg
30007542821185,qui
6767898372459427,qua
6333131927248004454,ter
4911495554658706454,seg
56022572453390894,qui
3577182598601634,sab
3588795218292794,qua
5100173409610121,sex
4041379329804257,sex
374622709559867,qua
4745666101460,sab
201659976136242,seg
30484437509938,dom
3548858231423736,sex
3553906864900017,dom
3581411723545398,seg
40415915,dom
630437948140982064,sab
670632832758031829,qui
30140292877006,sab
201770322313235,sab
3529896993846911,qua
5602238850863009,dom
5411143899048847,qua
3548267305249334,sex
6762828472266882414,dom
6304398718677856293,sab
3529052562880598,qui
6375856385690135,seg
3528875140812159,qui
5283853511662925,sab
5002350804722961,qui
337941783507709,ter
3570685003285584,dom
6771336622170683565,sab
3550934011154711,sab
348822692927138,ter
371131200887218,qua
3537606402800437,qua
201503375484045,seg
3554616574693179,qui
3551455417045625,qui
3560531509621058,qua
30100131349062,dom
372301196784120,qua
3567053947987689,qui
3548476404154713,sex
3543712020898274,dom
56100415,seg
3573299731549191,sab
5100137880053176,qui
3541033257755745,sab
3543023251402988,seg
3553292002926325,qui
3576393271328152,qua
6304400801297144823,ter
30489944550887,seg
6334757481733433,qui
3571615,seg
3565803562487965,seg
4026961044159429,ter
3565088017997848,sex
4041370736514597,qui
3567352918143565,ter
3537695412051644,ter
5602231036493262,sex
35741115,ter
5100134668612869,ter
3547748088082068,qua
4026815,seg
56022563305236138,dom
4905746063557538,qui
6334999422850369,qua
3586993169940477,dom
3538094382876298,ter
3585299084680169,seg
201705862650893,dom
3576583839565358,seg
3548420293660737,sab
4202858210543,seg
374283370024952,ter
3575190411614157,sex
3582691028603567,sex
6304740293722391212,sab
3585554018998263,qui
3547870538923038,sex
201587600193414,ter
372301066256993,sab
3570402721440818,dom
3564171409665958,qua
5334045133730961,dom
3572472926906358,sab
3564083450861933,seg
5048373561578083,qua
35800915,dom
4905155092979612187,sab
4026854079875045,ter
3542587248554235,qui
5602237111550017,ter
5007665584263893,qui
3537496337534099,ter
5602216048731257694,dom
4405317907673587,sab
491150549904576647,qua
56022269258361788,qui
3555755119368142,ter
3584952557533882,ter
3574031473223878,qua
3583454386332058,ter
3557809600375245,sab
51334415,dom
5100177844737415,qua
67715355347890793,qui
3587718861785048,ter
5588469737258281,dom
5893509828931666,qui
3579907279543814,qua
3561338103578935,dom
3579084031185043,dom
6709583809970789,qui
3529495973264896,qua
3540289957129778,dom
5010126647540236,qua
3550919453427535,ter
6381466174023027,dom
35539815,qua
6759050918188504,sex
3541113321586084,qua
35896815,qua
3564456115247435,sex
4041598752232666,sex
3532407293380398,qui
3572658762831789,qui
561086383259190435,ter
3532152507451839,qui
3546054970254829,sex
201966220623473,sex
3555198182562095,ter
35374615,sex
0604111418897622568,qua
